# BEGIN PLOT
LegendOnly=//Users/zhupengxuan/Buding/mRC-variables/Code/bkg2l2I.yoda/CEPC_SMUON/normlizedhist_mll
DrawOnly=//Users/zhupengxuan/Buding/mRC-variables/Code/bkg2l2I.yoda/CEPC_SMUON/normlizedhist_mll[Weight_MERGING=0.000] //Users/zhupengxuan/Buding/mRC-variables/Code/bkg2l2I.yoda/CEPC_SMUON/normlizedhist_mll
RatioPlotReference=//Users/zhupengxuan/Buding/mRC-variables/Code/bkg2l2I.yoda/CEPC_SMUON/normlizedhist_mll
RatioPlot=1
LogY=1
RatioPlotYLabel=Ratio
Legend=1
# END PLOT

# BEGIN HISTO1D //Users/zhupengxuan/Buding/mRC-variables/Code/bkg2l2I.yoda/CEPC_SMUON/normlizedhist_mll[Weight_MERGING=0.000]
LineColor=red!30
LineStyle=solid
Path=//Users/zhupengxuan/Buding/mRC-variables/Code/bkg2l2I.yoda/CEPC_SMUON/normlizedhist_mll[Weight_MERGING=0.000]
ScaledBy=2.56826881828948181e+01
Title=bkg2l2I
# xlow	 xhigh	 val	 errminus	 errplus
8.000000e+01	8.500000e+01	0.000000e+00	0.000000e+00	0.000000e+00
8.500000e+01	9.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
9.000000e+01	9.500000e+01	0.000000e+00	0.000000e+00	0.000000e+00
9.500000e+01	1.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+02	1.050000e+02	2.469136e-03	5.819809e-04	5.819809e-04
1.050000e+02	1.100000e+02	1.097394e-03	3.879873e-04	3.879873e-04
1.100000e+02	1.150000e+02	9.602194e-04	3.629289e-04	3.629289e-04
1.150000e+02	1.200000e+02	3.429356e-03	6.858711e-04	6.858711e-04
1.200000e+02	1.250000e+02	2.880658e-03	6.286112e-04	6.286112e-04
1.250000e+02	1.300000e+02	6.172840e-03	9.201926e-04	9.201926e-04
1.300000e+02	1.350000e+02	6.721536e-03	9.602196e-04	9.602196e-04
1.350000e+02	1.400000e+02	8.230452e-03	1.062547e-03	1.062547e-03
1.400000e+02	1.450000e+02	9.190672e-03	1.122819e-03	1.122819e-03
1.450000e+02	1.500000e+02	9.739368e-03	1.155851e-03	1.155851e-03
1.500000e+02	1.550000e+02	1.179698e-02	1.272101e-03	1.272101e-03
1.550000e+02	1.600000e+02	1.220850e-02	1.294099e-03	1.294099e-03
1.600000e+02	1.650000e+02	1.248285e-02	1.308559e-03	1.308559e-03
1.650000e+02	1.700000e+02	1.330590e-02	1.351009e-03	1.351009e-03
1.700000e+02	1.750000e+02	1.316872e-02	1.344027e-03	1.344027e-03
1.750000e+02	1.800000e+02	1.426612e-02	1.398908e-03	1.398908e-03
1.800000e+02	1.850000e+02	1.220850e-02	1.294099e-03	1.294099e-03
1.850000e+02	1.900000e+02	8.504802e-03	1.080111e-03	1.080111e-03
1.900000e+02	1.950000e+02	6.447188e-03	9.404191e-04	9.404191e-04
1.950000e+02	2.000000e+02	4.252400e-03	7.637536e-04	7.637536e-04
# END HISTO1D

