xlow,xhigh,val,errminus,errplus
0.00E+00,5.00E+00,1.12E+04,1.63E+01,1.63E+01
5.00E+00,1.00E+01,1.24E+04,1.72E+01,1.72E+01
1.00E+01,1.50E+01,0.00E+00,0.00E+00,0.00E+00
1.50E+01,2.00E+01,0.00E+00,0.00E+00,0.00E+00
2.00E+01,2.50E+01,0.00E+00,0.00E+00,0.00E+00
2.50E+01,3.00E+01,0.00E+00,0.00E+00,0.00E+00
3.00E+01,3.50E+01,0.00E+00,0.00E+00,0.00E+00
3.50E+01,4.00E+01,0.00E+00,0.00E+00,0.00E+00
4.00E+01,4.50E+01,0.00E+00,0.00E+00,0.00E+00
4.50E+01,5.00E+01,0.00E+00,0.00E+00,0.00E+00
5.00E+01,5.50E+01,0.00E+00,0.00E+00,0.00E+00
5.50E+01,6.00E+01,0.00E+00,0.00E+00,0.00E+00
6.00E+01,6.50E+01,0.00E+00,0.00E+00,0.00E+00
6.50E+01,7.00E+01,0.00E+00,0.00E+00,0.00E+00
7.00E+01,7.50E+01,0.00E+00,0.00E+00,0.00E+00
7.50E+01,8.00E+01,0.00E+00,0.00E+00,0.00E+00
8.00E+01,8.50E+01,0.00E+00,0.00E+00,0.00E+00
8.50E+01,9.00E+01,0.00E+00,0.00E+00,0.00E+00
9.00E+01,9.50E+01,0.00E+00,0.00E+00,0.00E+00
9.50E+01,1.00E+02,0.00E+00,0.00E+00,0.00E+00
1.00E+02,1.05E+02,0.00E+00,0.00E+00,0.00E+00
1.05E+02,1.10E+02,0.00E+00,0.00E+00,0.00E+00
1.10E+02,1.15E+02,0.00E+00,0.00E+00,0.00E+00
1.15E+02,1.20E+02,0.00E+00,0.00E+00,0.00E+00
