# BEGIN PLOT
LegendOnly=//home/buding/Workshop/Events/WMass/80410_tot.yoda/CEPC_MASS/Nhist_Wmass_mRCmin
DrawOnly=//home/buding/Workshop/Events/WMass/80410_tot.yoda/CEPC_MASS/Nhist_Wmass_mRCmin[Weight_MERGING=0.000] //home/buding/Workshop/Events/WMass/80410_tot.yoda/CEPC_MASS/Nhist_Wmass_mRCmin
RatioPlotReference=//home/buding/Workshop/Events/WMass/80410_tot.yoda/CEPC_MASS/Nhist_Wmass_mRCmin
RatioPlot=1
LogY=0
RatioPlotYMax=1.1
RatioPlotYLabel=Ratio
XLabel=$m_{\rm RC}^{\rm min}$ [GeV]
YLabel=Events
Legend=1
RatioPlotYMin=0.9
# END PLOT

# BEGIN HISTO1D //home/buding/Workshop/Events/WMass/80410_tot.yoda/CEPC_MASS/Nhist_Wmass_mRCmin[Weight_MERGING=0.000]
ErrorBars=1
LineColor=red!30
LineStyle=solid
Path=//home/buding/Workshop/Events/WMass/80410_tot.yoda/CEPC_MASS/Nhist_Wmass_mRCmin[Weight_MERGING=0.000]
ScaledBy=1.57689612534230056e-01
Title=80410_tot
# xlow	 xhigh	 val	 errminus	 errplus
7.680000e+01	7.700000e+01	1.811252e-02	7.609901e-05	7.609901e-05
7.700000e+01	7.720000e+01	1.834847e-02	7.659306e-05	7.659306e-05
7.720000e+01	7.740000e+01	1.862279e-02	7.716348e-05	7.716348e-05
7.740000e+01	7.760000e+01	1.876412e-02	7.745571e-05	7.745571e-05
7.760000e+01	7.780000e+01	1.909057e-02	7.812663e-05	7.812663e-05
7.780000e+01	7.800000e+01	1.935594e-02	7.866777e-05	7.866777e-05
7.800000e+01	7.820000e+01	1.958996e-02	7.914185e-05	7.914185e-05
7.820000e+01	7.840000e+01	2.000627e-02	7.997840e-05	7.997840e-05
7.840000e+01	7.860000e+01	2.046125e-02	8.088271e-05	8.088271e-05
7.860000e+01	7.880000e+01	2.075378e-02	8.145879e-05	8.145879e-05
7.880000e+01	7.900000e+01	2.137343e-02	8.266597e-05	8.266597e-05
7.900000e+01	7.920000e+01	2.167012e-02	8.323772e-05	8.323772e-05
7.920000e+01	7.940000e+01	2.203205e-02	8.392994e-05	8.392994e-05
7.940000e+01	7.960000e+01	2.229743e-02	8.443392e-05	8.443392e-05
7.960000e+01	7.980000e+01	2.246753e-02	8.475538e-05	8.475538e-05
7.980000e+01	8.000000e+01	2.220151e-02	8.425212e-05	8.425212e-05
8.000000e+01	8.020000e+01	2.138621e-02	8.269067e-05	8.269067e-05
8.020000e+01	8.040000e+01	2.006287e-02	8.009146e-05	8.009146e-05
8.040000e+01	8.060000e+01	1.827336e-02	7.643615e-05	7.643615e-05
8.060000e+01	8.080000e+01	1.601161e-02	7.154960e-05	7.154960e-05
8.080000e+01	8.100000e+01	1.380613e-02	6.643939e-05	6.643939e-05
8.100000e+01	8.120000e+01	1.159233e-02	6.088003e-05	6.088003e-05
8.120000e+01	8.140000e+01	9.934235e-03	5.635816e-05	5.635816e-05
8.140000e+01	8.160000e+01	8.450695e-03	5.197992e-05	5.197992e-05
8.160000e+01	8.180000e+01	7.246620e-03	4.813463e-05	4.813463e-05
8.180000e+01	8.200000e+01	6.215495e-03	4.457872e-05	4.457872e-05
8.200000e+01	8.220000e+01	5.432475e-03	4.167623e-05	4.167623e-05
8.220000e+01	8.240000e+01	4.826911e-03	3.928475e-05	3.928475e-05
8.240000e+01	8.260000e+01	4.291366e-03	3.704136e-05	3.704136e-05
8.260000e+01	8.280000e+01	3.890113e-03	3.526716e-05	3.526716e-05
8.280000e+01	8.300000e+01	3.361606e-03	3.278407e-05	3.278407e-05
8.300000e+01	8.320000e+01	3.121491e-03	3.159151e-05	3.159151e-05
8.320000e+01	8.340000e+01	2.860917e-03	3.024421e-05	3.024421e-05
8.340000e+01	8.360000e+01	2.610890e-03	2.889242e-05	2.889242e-05
8.360000e+01	8.380000e+01	2.401785e-03	2.771126e-05	2.771126e-05
8.380000e+01	8.400000e+01	2.199722e-03	2.652000e-05	2.652000e-05
8.400000e+01	8.420000e+01	2.032821e-03	2.549406e-05	2.549406e-05
8.420000e+01	8.440000e+01	1.872638e-03	2.446901e-05	2.446901e-05
8.440000e+01	8.460000e+01	1.784393e-03	2.388550e-05	2.388550e-05
8.460000e+01	8.480000e+01	1.630923e-03	2.283525e-05	2.283525e-05
8.480000e+01	8.500000e+01	1.500479e-03	2.190306e-05	2.190306e-05
# END HISTO1D

