# BEGIN PLOT
LegendOnly=//home/buding/Workshop/Events/WMass/80450_tot.yoda/CEPC_MASS/Nhist_Wmass_mRCmin
DrawOnly=//home/buding/Workshop/Events/WMass/80450_tot.yoda/CEPC_MASS/Nhist_Wmass_mRCmin[Weight_MERGING=0.000] //home/buding/Workshop/Events/WMass/80450_tot.yoda/CEPC_MASS/Nhist_Wmass_mRCmin
RatioPlotReference=//home/buding/Workshop/Events/WMass/80450_tot.yoda/CEPC_MASS/Nhist_Wmass_mRCmin
RatioPlot=1
LogY=0
RatioPlotYMax=1.1
RatioPlotYLabel=Ratio
XLabel=$m_{\rm RC}^{\rm min}$ [GeV]
YLabel=Events
Legend=1
RatioPlotYMin=0.9
# END PLOT

# BEGIN HISTO1D //home/buding/Workshop/Events/WMass/80450_tot.yoda/CEPC_MASS/Nhist_Wmass_mRCmin[Weight_MERGING=0.000]
ErrorBars=1
LineColor=red!30
LineStyle=solid
Path=//home/buding/Workshop/Events/WMass/80450_tot.yoda/CEPC_MASS/Nhist_Wmass_mRCmin[Weight_MERGING=0.000]
ScaledBy=1.55495806464694630e-01
Title=80450_tot
# xlow	 xhigh	 val	 errminus	 errplus
7.680000e+01	7.700000e+01	1.804535e-02	7.595973e-05	7.595973e-05
7.700000e+01	7.720000e+01	1.822728e-02	7.634167e-05	7.634167e-05
7.720000e+01	7.740000e+01	1.840921e-02	7.672170e-05	7.672170e-05
7.740000e+01	7.760000e+01	1.873313e-02	7.739375e-05	7.739375e-05
7.760000e+01	7.780000e+01	1.888819e-02	7.771340e-05	7.771340e-05
7.780000e+01	7.800000e+01	1.932401e-02	7.860487e-05	7.860487e-05
7.800000e+01	7.820000e+01	1.966740e-02	7.930017e-05	7.930017e-05
7.820000e+01	7.840000e+01	1.996252e-02	7.989293e-05	7.989293e-05
7.840000e+01	7.860000e+01	2.032895e-02	8.062284e-05	8.062284e-05
7.860000e+01	7.880000e+01	2.077661e-02	8.150574e-05	8.150574e-05
7.880000e+01	7.900000e+01	2.115935e-02	8.225309e-05	8.225309e-05
7.900000e+01	7.920000e+01	2.146244e-02	8.284001e-05	8.284001e-05
7.920000e+01	7.940000e+01	2.192768e-02	8.373309e-05	8.373309e-05
7.940000e+01	7.960000e+01	2.217932e-02	8.421216e-05	8.421216e-05
7.960000e+01	7.980000e+01	2.235355e-02	8.454225e-05	8.454225e-05
7.980000e+01	8.000000e+01	2.211855e-02	8.409670e-05	8.409670e-05
8.000000e+01	8.020000e+01	2.146339e-02	8.284185e-05	8.284185e-05
8.020000e+01	8.040000e+01	2.048882e-02	8.093924e-05	8.093924e-05
8.040000e+01	8.060000e+01	1.882872e-02	7.759095e-05	7.759095e-05
8.060000e+01	8.080000e+01	1.650578e-02	7.264718e-05	7.264718e-05
8.080000e+01	8.100000e+01	1.411409e-02	6.717799e-05	6.717799e-05
8.100000e+01	8.120000e+01	1.200731e-02	6.196170e-05	6.196170e-05
8.120000e+01	8.140000e+01	1.018957e-02	5.707931e-05	5.707931e-05
8.140000e+01	8.160000e+01	8.735700e-03	5.285054e-05	5.285054e-05
8.160000e+01	8.180000e+01	7.541140e-03	4.910425e-05	4.910425e-05
8.180000e+01	8.200000e+01	6.447950e-03	4.540584e-05	4.540584e-05
8.200000e+01	8.220000e+01	5.548185e-03	4.211883e-05	4.211883e-05
8.220000e+01	8.240000e+01	4.950262e-03	3.978457e-05	3.978457e-05
8.240000e+01	8.260000e+01	4.358423e-03	3.733064e-05	3.733064e-05
8.260000e+01	8.280000e+01	3.943391e-03	3.550876e-05	3.550876e-05
8.280000e+01	8.300000e+01	3.530609e-03	3.359896e-05	3.359896e-05
8.300000e+01	8.320000e+01	3.215981e-03	3.206695e-05	3.206695e-05
8.320000e+01	8.340000e+01	2.860744e-03	3.024407e-05	3.024407e-05
8.340000e+01	8.360000e+01	2.645877e-03	2.908611e-05	2.908611e-05
8.360000e+01	8.380000e+01	2.417577e-03	2.780294e-05	2.780294e-05
8.380000e+01	8.400000e+01	2.254827e-03	2.685080e-05	2.685080e-05
8.400000e+01	8.420000e+01	2.050188e-03	2.560336e-05	2.560336e-05
8.420000e+01	8.440000e+01	1.888722e-03	2.457450e-05	2.457450e-05
8.440000e+01	8.460000e+01	1.812942e-03	2.407645e-05	2.407645e-05
8.460000e+01	8.480000e+01	1.667777e-03	2.309242e-05	2.309242e-05
8.480000e+01	8.500000e+01	1.535089e-03	2.215479e-05	2.215479e-05
# END HISTO1D

