# BEGIN PLOT
LegendOnly=//home/buding/Workshop/Events/WMass/80400_tot.yoda/CEPC_MASS/Nhist_Wmass_mRCmin
DrawOnly=//home/buding/Workshop/Events/WMass/80400_tot.yoda/CEPC_MASS/Nhist_Wmass_mRCmin[Weight_MERGING=0.000] //home/buding/Workshop/Events/WMass/80400_tot.yoda/CEPC_MASS/Nhist_Wmass_mRCmin
RatioPlotReference=//home/buding/Workshop/Events/WMass/80400_tot.yoda/CEPC_MASS/Nhist_Wmass_mRCmin
RatioPlot=1
LogY=0
RatioPlotYMax=1.1
RatioPlotYLabel=Ratio
XLabel=$m_{\rm RC}^{\rm min}$ [GeV]
YLabel=Events
Legend=1
RatioPlotYMin=0.9
# END PLOT

# BEGIN HISTO1D //home/buding/Workshop/Events/WMass/80400_tot.yoda/CEPC_MASS/Nhist_Wmass_mRCmin[Weight_MERGING=0.000]
ErrorBars=1
LineColor=red!30
LineStyle=solid
Path=//home/buding/Workshop/Events/WMass/80400_tot.yoda/CEPC_MASS/Nhist_Wmass_mRCmin[Weight_MERGING=0.000]
ScaledBy=1.58280741918818413e-01
Title=80400_tot
# xlow	 xhigh	 val	 errminus	 errplus
7.680000e+01	7.700000e+01	1.817213e-02	7.622444e-05	7.622444e-05
7.700000e+01	7.720000e+01	1.825814e-02	7.640460e-05	7.640460e-05
7.720000e+01	7.740000e+01	1.860761e-02	7.713237e-05	7.713237e-05
7.740000e+01	7.760000e+01	1.872847e-02	7.738244e-05	7.738244e-05
7.760000e+01	7.780000e+01	1.907251e-02	7.809000e-05	7.809000e-05
7.780000e+01	7.800000e+01	1.944052e-02	7.883976e-05	7.883976e-05
7.800000e+01	7.820000e+01	1.964193e-02	7.924711e-05	7.924711e-05
7.820000e+01	7.840000e+01	2.007934e-02	8.012465e-05	8.012465e-05
7.840000e+01	7.860000e+01	2.040482e-02	8.077141e-05	8.077141e-05
7.860000e+01	7.880000e+01	2.086650e-02	8.168006e-05	8.168006e-05
7.880000e+01	7.900000e+01	2.122972e-02	8.238794e-05	8.238794e-05
7.900000e+01	7.920000e+01	2.159868e-02	8.310077e-05	8.310077e-05
7.920000e+01	7.940000e+01	2.209840e-02	8.405656e-05	8.405656e-05
7.940000e+01	7.960000e+01	2.224806e-02	8.434074e-05	8.434074e-05
7.960000e+01	7.980000e+01	2.233822e-02	8.451146e-05	8.451146e-05
7.980000e+01	8.000000e+01	2.226563e-02	8.437403e-05	8.437403e-05
8.000000e+01	8.020000e+01	2.145800e-02	8.282967e-05	8.282967e-05
8.020000e+01	8.040000e+01	1.994888e-02	7.986393e-05	7.986393e-05
8.040000e+01	8.060000e+01	1.807559e-02	7.602167e-05	7.602167e-05
8.060000e+01	8.080000e+01	1.589375e-02	7.128603e-05	7.128603e-05
8.080000e+01	8.100000e+01	1.368058e-02	6.613688e-05	6.613688e-05
8.100000e+01	8.120000e+01	1.161896e-02	6.095014e-05	6.095014e-05
8.120000e+01	8.140000e+01	9.817935e-03	5.602752e-05	5.602752e-05
8.140000e+01	8.160000e+01	8.443415e-03	5.195777e-05	5.195777e-05
8.160000e+01	8.180000e+01	7.203510e-03	4.799140e-05	4.799140e-05
8.180000e+01	8.200000e+01	6.169500e-03	4.441363e-05	4.441363e-05
8.200000e+01	8.220000e+01	5.446280e-03	4.172935e-05	4.172935e-05
8.220000e+01	8.240000e+01	4.776758e-03	3.908031e-05	3.908031e-05
8.240000e+01	8.260000e+01	4.263591e-03	3.692148e-05	3.692148e-05
8.260000e+01	8.280000e+01	3.873522e-03	3.519203e-05	3.519203e-05
8.280000e+01	8.300000e+01	3.465546e-03	3.328719e-05	3.328719e-05
8.300000e+01	8.320000e+01	3.148377e-03	3.172743e-05	3.172743e-05
8.320000e+01	8.340000e+01	2.830566e-03	3.008348e-05	3.008348e-05
8.340000e+01	8.360000e+01	2.589167e-03	2.877207e-05	2.877207e-05
8.360000e+01	8.380000e+01	2.361844e-03	2.748003e-05	2.748003e-05
8.380000e+01	8.400000e+01	2.174163e-03	2.636560e-05	2.636560e-05
8.400000e+01	8.420000e+01	1.992232e-03	2.523836e-05	2.523836e-05
8.420000e+01	8.440000e+01	1.817342e-03	2.410513e-05	2.410513e-05
8.440000e+01	8.460000e+01	1.741888e-03	2.359944e-05	2.359944e-05
8.460000e+01	8.480000e+01	1.650130e-03	2.296949e-05	2.296949e-05
8.480000e+01	8.500000e+01	1.555163e-03	2.229868e-05	2.229868e-05
# END HISTO1D

